local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
1, 0.2836, 0.216592, 0.506357, 0.104832, 0.0783595, 0.220575, 0.259641, 0.197923, 0.465634, 0.207084, 0.0789545, 0.0432577, 0.0308772
2, 0.283619, 0.216606, 0.506357, 0.104832, 0.0783594, 0.220575, 0.259636, 0.197923, 0.46556, 0.207083, 0.0789539, 0.0432575, 0.0308771
3, 0.283616, 0.216604, 0.506357, 0.104831, 0.0783583, 0.220575, 0.259634, 0.197921, 0.46556, 0.207085, 0.0789548, 0.0432579, 0.0308773
4, 0.283616, 0.216604, 0.506357, 0.104832, 0.0783609, 0.220575, 0.259634, 0.197921, 0.46556, 0.207085, 0.0789548, 0.0432579, 0.0308773
5, 0.283616, 0.216604, 0.506357, 0.104834, 0.0783619, 0.220575, 0.259634, 0.197921, 0.46556, 0.207085, 0.0789551, 0.0432581, 0.0308774
6, 0.283578, 0.216571, 0.506357, 0.104802, 0.0783415, 0.220485, 0.259572, 0.197873, 0.465504, 0.207065, 0.0789289, 0.0432555, 0.0308755
7, 0.283586, 0.216576, 0.506357, 0.104805, 0.0783436, 0.220485, 0.259579, 0.197878, 0.465504, 0.207065, 0.0789279, 0.04325, 0.03087
8, 0.283689, 0.216641, 0.506612, 0.104934, 0.0784208, 0.220872, 0.259667, 0.197934, 0.465699, 0.207065, 0.0789696, 0.0432955, 0.0309075
9, 0.283692, 0.216643, 0.506612, 0.104945, 0.0784289, 0.220872, 0.25967, 0.197936, 0.465699, 0.207081, 0.0789742, 0.0432984, 0.0309098
10, 0.283694, 0.216645, 0.506612, 0.104946, 0.0784292, 0.220872, 0.259672, 0.197938, 0.465699, 0.207081, 0.0789744, 0.0432985, 0.0309099
11, 0.283697, 0.216648, 0.506612, 0.104945, 0.0784285, 0.220872, 0.259674, 0.19794, 0.465699, 0.207085, 0.0789779, 0.0432985, 0.0309098
12, 0.28368, 0.216633, 0.506612, 0.104918, 0.0784095, 0.220827, 0.259674, 0.197935, 0.465758, 0.207059, 0.0789572, 0.0432824, 0.030899
13, 0.283723, 0.216661, 0.506673, 0.104926, 0.0784152, 0.220827, 0.259695, 0.19795, 0.465758, 0.207072, 0.0789564, 0.0432843, 0.0309003
14, 0.283885, 0.216841, 0.506773, 0.104983, 0.0784664, 0.220858, 0.259803, 0.198093, 0.465684, 0.207116, 0.0789762, 0.0433198, 0.0309274
15, 0.283885, 0.216841, 0.506773, 0.104982, 0.0784661, 0.220858, 0.259803, 0.198093, 0.465684, 0.207123, 0.0789762, 0.0433198, 0.0309274
16, 0.28388, 0.216838, 0.506773, 0.104982, 0.078466, 0.220858, 0.25983, 0.198108, 0.465828, 0.207123, 0.0789762, 0.0433198, 0.0309273
