local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
90, 0.284429, 0.217138, 0.506946, 0.106455, 0.079366, 0.22364, 0.260963, 0.198829, 0.467142, 0.205221, 0.0790604, 0.0438305, 0.0312987
90.1, 0.284422, 0.217131, 0.50696, 0.106445, 0.07936, 0.223608, 0.260936, 0.19881, 0.467083, 0.205213, 0.079042, 0.0438054, 0.0312792
90.2, 0.284363, 0.21709, 0.506899, 0.106407, 0.0793354, 0.223518, 0.260859, 0.198759, 0.466962, 0.205172, 0.0789784, 0.0437646, 0.031244
90.3, 0.284415, 0.217125, 0.506985, 0.106422, 0.0793437, 0.223564, 0.26091, 0.198793, 0.467047, 0.205172, 0.07899, 0.0437643, 0.0312436
90.4, 0.284419, 0.217133, 0.506937, 0.106402, 0.0793324, 0.223485, 0.260896, 0.19879, 0.46695, 0.205177, 0.0789954, 0.043765, 0.0312438
90.5, 0.284432, 0.217142, 0.506937, 0.106384, 0.079317, 0.223476, 0.260957, 0.198827, 0.467103, 0.205171, 0.0789979, 0.04376, 0.0312416
90.6, 0.284414, 0.217123, 0.506972, 0.106402, 0.0793373, 0.223476, 0.26096, 0.198821, 0.467193, 0.20521, 0.0789911, 0.0437692, 0.0312491
90.7, 0.284088, 0.216853, 0.50652, 0.10584, 0.078899, 0.222663, 0.260593, 0.19851, 0.466728, 0.205007, 0.0786383, 0.0434556, 0.0309534
90.8, 0.284083, 0.21685, 0.50652, 0.105817, 0.0788858, 0.222585, 0.260588, 0.198507, 0.466728, 0.205003, 0.0786378, 0.0434456, 0.0309479
90.9, 0.284199, 0.216922, 0.506797, 0.10583, 0.0788901, 0.222649, 0.26076, 0.19863, 0.467075, 0.20504, 0.0786588, 0.0434516, 0.0309409
91, 0.28424, 0.216949, 0.50687, 0.10586, 0.0789081, 0.222752, 0.2608, 0.198656, 0.467147, 0.205015, 0.0786435, 0.0434608, 0.0309547
91.1, 0.284374, 0.217073, 0.506973, 0.105911, 0.078958, 0.222711, 0.260941, 0.198793, 0.467168, 0.205118, 0.078691, 0.0435067, 0.0309863
91.2, 0.284424, 0.217116, 0.507021, 0.105971, 0.0790001, 0.222823, 0.261084, 0.198892, 0.467501, 0.205163, 0.0787213, 0.0435086, 0.0309863
91.3, 0.284545, 0.217238, 0.507201, 0.105999, 0.0790181, 0.222906, 0.261284, 0.199076, 0.467788, 0.205118, 0.0788269, 0.0435596, 0.0310263
91.4, 0.284639, 0.217323, 0.507291, 0.106076, 0.0790673, 0.223095, 0.261327, 0.199119, 0.467812, 0.205137, 0.0788567, 0.0435875, 0.0310452
91.5, 0.284507, 0.217225, 0.507291, 0.106032, 0.0790386, 0.223086, 0.261199, 0.199024, 0.467812, 0.205091, 0.0788326, 0.0435768, 0.0310378
91.6, 0.284608, 0.217301, 0.507291, 0.106062, 0.0790584, 0.223086, 0.261312, 0.199106, 0.467861, 0.205107, 0.0788395, 0.0435829, 0.0310418
91.7, 0.284599, 0.217297, 0.507258, 0.106055, 0.0790545, 0.223035, 0.261302, 0.199102, 0.467827, 0.205098, 0.0788237, 0.0435725, 0.0310314
91.8, 0.284602, 0.2173, 0.507258, 0.10607, 0.0790646, 0.223075, 0.261304, 0.199104, 0.467827, 0.205094, 0.0788247, 0.0435814, 0.0310402
91.9, 0.284596, 0.217293, 0.507258, 0.10603, 0.0790381, 0.223001, 0.261298, 0.199097, 0.467827, 0.205049, 0.07882, 0.0435657, 0.0310267
92, 0.284621, 0.217326, 0.507255, 0.106149, 0.0791241, 0.223232, 0.261228, 0.199064, 0.467654, 0.205033, 0.0788831, 0.043641, 0.031098
92.1, 0.284886, 0.217557, 0.507533, 0.10627, 0.0792091, 0.22344, 0.261524, 0.199315, 0.467993, 0.205087, 0.0789796, 0.0437116, 0.0311288
92.2, 0.284854, 0.21755, 0.507327, 0.106303, 0.0792307, 0.223509, 0.261538, 0.199336, 0.467897, 0.205075, 0.0790039, 0.0437222, 0.0311389
92.3, 0.284855, 0.217551, 0.507327, 0.106307, 0.0792339, 0.223509, 0.26154, 0.19934, 0.467865, 0.20508, 0.0790042, 0.043722, 0.0311388
92.4, 0.284814, 0.217494, 0.507296, 0.106364, 0.0792548, 0.223724, 0.261618, 0.199369, 0.468029, 0.204931, 0.0790019, 0.0436947, 0.0311114
92.5, 0.284705, 0.217393, 0.507186, 0.106203, 0.0791334, 0.223516, 0.261532, 0.199285, 0.467979, 0.204766, 0.0788608, 0.0435582, 0.0309984
92.6, 0.28464, 0.21733, 0.507142, 0.10628, 0.0791812, 0.223725, 0.261475, 0.199222, 0.468001, 0.204729, 0.0788696, 0.0435971, 0.0310265
92.7, 0.284632, 0.217324, 0.507142, 0.106298, 0.0791922, 0.223774, 0.261467, 0.199217, 0.468001, 0.204741, 0.0788757, 0.0436052, 0.0310342
92.8, 0.284693, 0.217369, 0.507211, 0.106283, 0.0791812, 0.2237, 0.261507, 0.199248, 0.468018, 0.20474, 0.0788998, 0.0436247, 0.0310522
92.9, 0.284668, 0.217352, 0.507161, 0.106279, 0.0791788, 0.2237, 0.261483, 0.199232, 0.467969, 0.204736, 0.0789, 0.0436133, 0.031041
93, 0.284647, 0.21734, 0.507127, 0.106248, 0.0791609, 0.223628, 0.261465, 0.199224, 0.467936, 0.204727, 0.0788645, 0.0436132, 0.0310412
93.1, 0.284683, 0.217444, 0.50686, 0.10622, 0.0791612, 0.223463, 0.261513, 0.199329, 0.467715, 0.204737, 0.0788903, 0.0436646, 0.0310742
93.2, 0.28453, 0.217348, 0.506516, 0.10614, 0.0791028, 0.223364, 0.261443, 0.199291, 0.467524, 0.204525, 0.0787639, 0.0436056, 0.0310313
93.3, 0.284556, 0.217366, 0.506589, 0.106112, 0.0790844, 0.223328, 0.26149, 0.199321, 0.467654, 0.204527, 0.0787594, 0.0435941, 0.0310279
93.4, 0.2845, 0.217327, 0.506529, 0.106154, 0.0791107, 0.223504, 0.261443, 0.199288, 0.46759, 0.204498, 0.0787614, 0.0435993, 0.0310345
93.5, 0.284268, 0.217218, 0.505498, 0.106015, 0.0790415, 0.222775, 0.261209, 0.199178, 0.466559, 0.204457, 0.0786997, 0.0435569, 0.0309962
93.6, 0.284044, 0.217081, 0.504848, 0.105852, 0.078946, 0.222188, 0.261026, 0.199066, 0.466026, 0.204407, 0.0786339, 0.0434728, 0.0309082
93.7, 0.284064, 0.217094, 0.504898, 0.105863, 0.0789531, 0.222217, 0.261036, 0.199072, 0.46604, 0.204414, 0.0786392, 0.04347, 0.030905
93.8, 0.284118, 0.217129, 0.505002, 0.105975, 0.079028, 0.222459, 0.261173, 0.199164, 0.466304, 0.204357, 0.0786743, 0.0434975, 0.0309262
93.9, 0.284111, 0.217142, 0.504912, 0.105945, 0.0790097, 0.222383, 0.261219, 0.199214, 0.466304, 0.204384, 0.0786514, 0.043512, 0.030938
94, 0.28411, 0.217149, 0.50481, 0.105953, 0.0790131, 0.222434, 0.261182, 0.199196, 0.46616, 0.204344, 0.0786399, 0.0435099, 0.0309399
94.1, 0.28412, 0.217161, 0.50476, 0.10601, 0.0790479, 0.222571, 0.261159, 0.199184, 0.46606, 0.204333, 0.0786037, 0.0435297, 0.0309473
94.2, 0.284083, 0.217104, 0.505047, 0.105996, 0.0790297, 0.222711, 0.261066, 0.19909, 0.466214, 0.204205, 0.0785233, 0.043495, 0.0309337
94.3, 0.284092, 0.21714, 0.504938, 0.106024, 0.0790683, 0.222676, 0.261073, 0.199125, 0.466106, 0.204247, 0.0785296, 0.0435049, 0.0309336
94.4, 0.284078, 0.217129, 0.504938, 0.106008, 0.0790604, 0.222591, 0.26106, 0.199114, 0.466106, 0.20423, 0.0785059, 0.0434954, 0.0309297
94.5, 0.284043, 0.217024, 0.504947, 0.106029, 0.0790465, 0.222608, 0.26097, 0.198977, 0.465982, 0.204121, 0.0785299, 0.0435141, 0.0309429
94.6, 0.284003, 0.216991, 0.504909, 0.106067, 0.079065, 0.222803, 0.260848, 0.19889, 0.465784, 0.20408, 0.0785213, 0.0435175, 0.030961
94.7, 0.283878, 0.216933, 0.504762, 0.105922, 0.0789762, 0.222533, 0.260716, 0.198821, 0.465636, 0.203931, 0.0783646, 0.0433632, 0.0308247
94.8, 0.283789, 0.21687, 0.504577, 0.105811, 0.0788938, 0.222319, 0.260579, 0.198727, 0.465331, 0.203813, 0.0782969, 0.0432836, 0.0307691
