local_file_weight, rouge_1_f1_score, rouge_1_precision, rouge_1_recall, rouge_2_f1_score, rouge_2_precision, rouge_2_recall, rouge_l_f1_score, rouge_l_precision, rouge_l_recall, bleu_1, bleu_2, bleu_3, bleu_4
1, 0.341793, 0.263981, 0.54089, 0.130214, 0.094623, 0.239847, 0.311996, 0.241174, 0.492094, 0.24711, 0.0940363, 0.0508079, 0.0349371
2, 0.341793, 0.263981, 0.54089, 0.130214, 0.094623, 0.239847, 0.311996, 0.241174, 0.492094, 0.24711, 0.0940363, 0.0508079, 0.0349371
3, 0.341451, 0.263755, 0.540284, 0.130115, 0.0945556, 0.239847, 0.311667, 0.240958, 0.491488, 0.24702, 0.0939467, 0.0507346, 0.0348698
4, 0.341451, 0.263755, 0.540284, 0.130088, 0.0945298, 0.239847, 0.311667, 0.240958, 0.491488, 0.24702, 0.0939467, 0.0507346, 0.0348698
5, 0.341451, 0.263755, 0.540284, 0.130088, 0.0945298, 0.239847, 0.311667, 0.240958, 0.491488, 0.24702, 0.0939467, 0.0507346, 0.0348698
6, 0.34097, 0.26342, 0.539429, 0.130095, 0.0945346, 0.239847, 0.311186, 0.240623, 0.490634, 0.247039, 0.0938405, 0.0507382, 0.0348719
7, 0.34097, 0.26342, 0.539429, 0.130095, 0.0945346, 0.239847, 0.311186, 0.240623, 0.490634, 0.247039, 0.0938405, 0.0507382, 0.0348719
8, 0.34097, 0.26342, 0.539429, 0.130095, 0.0945346, 0.239847, 0.311186, 0.240623, 0.490634, 0.247039, 0.0938405, 0.0507382, 0.0348719
9, 0.34097, 0.26342, 0.539429, 0.130095, 0.0945346, 0.239847, 0.311186, 0.240623, 0.490634, 0.247039, 0.0938405, 0.0507382, 0.0348719
10, 0.341822, 0.264003, 0.54089, 0.130173, 0.0945875, 0.239847, 0.312022, 0.241194, 0.492094, 0.247113, 0.0940639, 0.0507985, 0.0348854
11, 0.341822, 0.264003, 0.54089, 0.130147, 0.0945656, 0.239847, 0.312022, 0.241194, 0.492094, 0.24715, 0.0940792, 0.0508058, 0.0348896
12, 0.341822, 0.264003, 0.54089, 0.130147, 0.0945656, 0.239847, 0.312022, 0.241194, 0.492094, 0.24715, 0.0940792, 0.0508058, 0.0348896
13, 0.341822, 0.264003, 0.54089, 0.130147, 0.0945656, 0.239847, 0.312022, 0.241194, 0.492094, 0.24715, 0.0940792, 0.0508058, 0.0348896
14, 0.341822, 0.264003, 0.54089, 0.130126, 0.0945375, 0.239847, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
15, 0.341822, 0.264003, 0.54089, 0.130099, 0.0945119, 0.239847, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
16, 0.341822, 0.264003, 0.54089, 0.13012, 0.0945399, 0.239847, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
17, 0.341822, 0.264003, 0.54089, 0.13012, 0.0945399, 0.239847, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
18, 0.341822, 0.264003, 0.54089, 0.13012, 0.0945399, 0.239847, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
19, 0.341822, 0.264003, 0.54089, 0.12984, 0.0943095, 0.239489, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
20, 0.341822, 0.264003, 0.54089, 0.12984, 0.0943095, 0.239489, 0.312484, 0.241609, 0.492615, 0.246774, 0.0941238, 0.0507711, 0.0348727
21, 0.341913, 0.264208, 0.54089, 0.130301, 0.0946979, 0.24037, 0.312075, 0.241405, 0.491949, 0.247015, 0.0943803, 0.0509792, 0.0350627
22, 0.341913, 0.264208, 0.54089, 0.130301, 0.0946979, 0.24037, 0.312075, 0.241405, 0.491949, 0.247015, 0.0943803, 0.0509792, 0.0350627
23, 0.341913, 0.264208, 0.54089, 0.130294, 0.0946932, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
24, 0.341913, 0.264208, 0.54089, 0.130301, 0.0946979, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
25, 0.341913, 0.264208, 0.54089, 0.130321, 0.0947256, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
26, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
27, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
28, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
29, 0.341942, 0.26423, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312102, 0.241425, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
30, 0.341942, 0.26423, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312102, 0.241425, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
31, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
32, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
33, 0.341913, 0.264208, 0.54089, 0.130308, 0.0947027, 0.24037, 0.312075, 0.241405, 0.491949, 0.247025, 0.0943838, 0.0509808, 0.0350633
34, 0.342165, 0.264367, 0.541496, 0.130423, 0.0947835, 0.240781, 0.312922, 0.242114, 0.493204, 0.247024, 0.0944034, 0.0509626, 0.0350479
35, 0.342165, 0.264367, 0.541496, 0.130469, 0.0948262, 0.240781, 0.312922, 0.242114, 0.493204, 0.247024, 0.0944034, 0.0509626, 0.0350479
