local_file_weight, rouge_1_f1, rouge_2_f1, rouge_l_f1
1,28.3204,10.4249,25.9192
2,28.3222,10.4238,25.9209
3,28.322,10.4238,25.9185
4,28.3223,10.4238,25.9173
5,28.3223,10.4237,25.9173
6,28.3187,10.4206,25.9113
7,28.3194,10.422,25.912
8,28.3297,10.4348,25.9222
9,28.3297,10.4349,25.9223
10,28.3297,10.4349,25.9223
11,28.3279,10.432,25.9206
12,28.3288,10.4314,25.9194
13,28.3313,10.4324,25.9217
14,28.3311,10.4323,25.9195
15,28.331,10.4321,25.9194
16,28.3305,10.4323,25.9212
17,28.3309,10.4324,25.9196
18,28.3313,10.4323,25.9199
19,28.3479,10.4383,25.9362
20,28.3395,10.4323,25.9318
21,28.3006,10.4175,25.8969
22,28.3007,10.4175,25.8986
23,28.2999,10.4166,25.8954
24,28.2999,10.4171,25.893
25,28.2999,10.417,25.893
26,28.3012,10.417,25.8942
27,28.3008,10.415,25.8984
28,28.3028,10.4124,25.9002
29,28.3039,10.4148,25.8986
30,28.3079,10.4232,25.902
31,28.3078,10.4246,25.8957
32,28.3085,10.4259,25.8962
33,28.3086,10.4258,25.8964
34,28.3045,10.422,25.8888
35,28.3048,10.4219,25.8891
36,28.2987,10.4196,25.8852
37,28.2985,10.4197,25.8952
38,28.2992,10.42,25.8958
39,28.2892,10.4079,25.888
40,28.2633,10.3877,25.8622
41,28.2654,10.3887,25.8643
42,28.2652,10.3887,25.864
43,28.2607,10.3872,25.8612
44,28.2611,10.3872,25.8596
45,28.2631,10.388,25.8614
46,28.2625,10.3882,25.8609
47,28.2623,10.3886,25.8585
48,28.293,10.4477,25.8915
49,28.2815,10.4502,25.8774
50,28.2784,10.4498,25.8732
51,28.2788,10.4492,25.8734
52,28.279,10.4503,25.875
53,28.2796,10.4502,25.8756
54,28.2745,10.4496,25.8704
55,28.273,10.4497,25.8703
56,28.273,10.4522,25.8706
57,28.2711,10.4512,25.8635
58,28.3022,10.4657,25.8935
59,28.3063,10.4662,25.897
60,28.3111,10.4618,25.9035
61,28.3137,10.4613,25.9061
62,28.3149,10.4624,25.9095
63,28.3144,10.4613,25.9027
64,28.3279,10.4698,25.9161
65,28.3239,10.4627,25.9024
66,28.3777,10.5145,25.9505
67,28.3735,10.5199,25.9443
68,28.3705,10.5178,25.9488
69,28.3736,10.5104,25.9566
70,28.3723,10.5104,25.9574
71,28.3674,10.5089,25.9494
72,28.3929,10.531,25.9775
73,28.4015,10.5337,25.9771
74,28.4057,10.5408,25.9858
75,28.3911,10.5329,25.9667
76,28.3865,10.5294,25.9622
77,28.3887,10.5214,25.9721
78,28.3666,10.5055,25.9596
79,28.3543,10.4987,25.9439
80,28.3256,10.4917,25.917
81,28.3311,10.4979,25.921
82,28.3474,10.5053,25.941
83,28.3407,10.498,25.9394
84,28.3478,10.5053,25.9423
85,28.3776,10.5174,25.9789
86,28.4115,10.5665,26.0324
87,28.4065,10.5701,26.0272
88,28.4142,10.5833,26.0517
89,28.3988,10.5817,26.04
90,28.388,10.5788,26.034
91,28.3711,10.5207,26.0226
92,28.4118,10.5523,26.0702
93,28.4156,10.5619,26.0947
94,28.3599,10.531,26.0671
95,28.3467,10.5352,26.0177
96,28.4006,10.5567,26.0667
97,28.4492,10.5918,26.0932
98,28.5696,10.6966,26.2692
99,28.6341,10.6879,26.3763
100,28.7212,10.8404,26.5
